AssetID,AssetName,AssetLocat,Risk
5150001,Yeelanna Turn out,"Adj Railway Tce, Yeelanna",Medium
5150003,Port Lincoln Turn Out,Port Lincoln,High
5950001,Ungarra Turn Out,"Adj Ashman Tce, Ungarra",Low
5150002,Wanilla Turn Out,"N. of Charlton Tce, Wanilla",High
3250068,Gas Pipeline,Northern Naracoorte Lucindale Council,N/A
5150172,SA Water Pipeline,"Donington Rd, Lincoln NP",Medium
5130001,Proper Bay Rd,Proper Bay Road LGA boundary to Fishery Bay Rd,Extreme
5130002,Fishery Bay Rd,"Fishery Bay Rd, Sleaford",Extreme
5130003,Tod Hwy,Tod Hwy North of Flinders Hwy,Extreme
1630008,Davison Drive,"Davison Drv, Mount Gambier",High
2830017,Avenue Range Road,Avenue Range Road,High
2830020,Princes Hwy,Princes Hwy,Very High
1550012,Railway Line,Mitcham Railway line,Medium
3930088,Jack Bobridge Bike Track,,High
1130134,Bike Track,"Chambers Gully, Cleland Conservation Park",Extreme
1130140,Perimeter Bike Track,Greenhill,Extreme
1830028,Stuart O Grady Bikeway,Northern Expressway Virginia to Gawler,Very High
3250070,Gas Pipeline into Meatworks,Hynam,N/A
6530052,Gawler River Recreational Paths and Reserves,Gawler River Recreational Paths and Reserves,High
6530053,North Para River Recreational Paths and Reserves,North Para River Recreational Paths and Reserves,Very High
6550014,Adelaide Gawler Railway – Kudla Evanston South,Adelaide Gawler Railway – Kudla Evanston South,High
6550008,Adelaide Gawler Railway – Gawler,Adelaide Gawler Railway – Gawler,High
6550003,Barossa Adelaide Water Trunk Main,Salisbury - Dalkeith - Concordia,Low
3950094,Barossa Bulk Water Trunk Main,"Whispering Wall Rd, Williamstown",High
5150191,Lincoln Basin Main,"Uley South Bore Trk, Lincoln Basin",Medium
1150207,Millbrook Pumping Main Pipeline,Millbrook Pumping Main Pipeline,High
3950102,Mt Pleasant Dissipator Main,"Birdwood Rd, Ken Hicks Rd, Schrapels Rd, Mt Pleasant",Low
1750155,Myponga-Happy Valley Adelaide Water (above ground)Trunk Main,"Piggot Range Rd, Onkaparinga Hills",Low
1150202,Torrens Aquaduct,Torrens Aquaduct,Low
3950129,Warren Branch Main Pipeline,Warren Branch Main Pipeline,Low
3950134,Warren Trunk Main,,Low
3950135,Swan Reach-Paskeville Pipeline,,Medium
1150118,Mannum-Adelaide Bulk Water Pipeline,Mannum-Adelaide Bulk Water Pipeline,Low
1130199,Moores Rd,Norton Summit,Extreme
1130200,Deviation Rd,Forest Range,Very High
1430038,Womens Pioneer Trail,"Mt Osmond Reserve, Centre Trk, Mt Osmond",Extreme
1430039,Old Bullock Walking Trail,"Old Bullock Trk, Burnside",Extreme
3250069,Gas pipeline southern NL Council,Southern Naracoorte Lucindale Council,N/A
5150187,Transfer Main A (Summit Tanks-Tod PS),North from Summit Tanks - White Flat,Medium
5150188,Uley-Wanilla Main,"Clarkes Lane, Greenpatch",Medium
5150189,Uley South Main,Uley South Basin,Medium
5150190,Tod Trunk Main,Tod Res - Karkoo,Medium
5950035,East Coast Main,Summit Tanks - Arno Bay,Low
5130164,Karkoo Community Hall and Sports Complex Clubrooms,"Tod Highway and Archie Griffiths Rd, Karkoo",Low
5170002,Museum,"Morris St, Yeelanna",Medium
5170003,Church,"Bell Tce, Yeelanna",Medium
5170004,Yeelanna Centenary Memorial Hall,"Cranston St, Yeelanna",Medium
5170005,The Old Catholic Church,"St Andrews Rd, Cummins",Very High
5170006,Edillilie Community Hall,"Poyntz St and Railway Tce, Edillilie",Very High
5170007,Wanilla Community Hall,"Wanilla Tce, Wanilla",Medium
