name,risk,lat,lng
"Yeelanna Turn out","medium",-34.1422343,135.7293798
"Ungarra Turn Out","low",-34.1797967,136.0475037
"Wanilla Turn Out","high",-34.5380369,135.7015993
"SA Water Pipeline","medium",-34.8001667,135.909275
"Fishery Bay Rd","extreme",-34.9155899,135.68712
"Davison Drive","high",-37.8454133,140.7701707
"Princes Hwy","very high",-34.9700572,138.6745474
"Barossa Bulk Water Trunk Main","high",-34.6428558,138.8526499
"Moores Rd","extreme",-34.9050853,138.7409171
"Deviation Rd","very high",-34.9538662,138.7813682
"Womens Pioneer Trail","extreme",-34.9648867,138.6722235
"Museum","medium",-34.141105,135.7314685
"Church","medium",-34.1422601,135.731503
"Yeelanna Centenary Memorial Hall","medium",-34.1410923,135.7301809
"The Old Catholic Church","very high",-34.2680505,135.7264146
"Wanilla Community Hall","medium",-34.5266881,135.6786358
"Mount Hope Community Hall","low",-34.0731135,135.3167343
"Coulta Memorial Hall","medium",-34.387116,135.4677711
"Old Coulta Cemetery","medium",-34.3878637,135.4635504
"Coulta Cemetery","medium",-34.3985697,135.4811532
"Church","medium",-34.5494663,135.4800774
"Wangary Cemetery","low",-34.5916892,135.4511513
"Coffin Bay Cemetery","very high",-34.6025284,135.5416479
"North Shields Cemetery","low",-34.589952,135.8800507
"North Shields Cemetery","medium",-34.6405033,135.8589826
"Kiana Cemetery","low",-33.9471166,135.2878027
"Cummins Showground Pavillion","medium",-34.2710239,135.7209293
"Woolshed Historic Site","medium",-34.5306598,135.4343783
"Old Eating House","high",-34.0280066,135.2809776
"White Flat Community Hall","high",-34.5357377,135.8626129
"Port Lincoln Cemetery","medium",-34.7076532,135.8479039
"Lipson Hall","medium",-34.2945614,136.1415269
"Lipson Cemetery","medium",-34.2886147,136.1476568
"Koppio Hall","medium",-34.4127466,135.7778157
"Koppio Cemetery","medium",-34.3858056,135.8579532
"Yallunda Flat Show Ground Pavillions","extreme",-34.3190268,135.9042029
"Cockaleechie Hall","very high",-34.2060751,135.8448776
"Brooker Hall","low",52.2224429,7.0072663
"Historic Dairy","very high",-36.8678923,140.9277461
"Lucindale Cemetry","medium",-36.971197,140.3709979
"Coola Outstation Ruins","low",-37.71490645,140.28500123825
"Western Flat Community Hall","very high",-36.4845692,140.7476785
"Mount Benson Church","medium",-37.0700498,139.8260548
"Tractor Museum","medium",-36.7926954,139.8693304
"The Big Lobster","medium",-36.7926954,139.8693304
"Blackfords","medium",-36.8064804,139.9679121
"Yallum Park Homestead","low",-37.4491053,140.6669504
"Kalangadoo House","medium",-37.531611,140.7431477
"Grain Storage Silo","high",-34.1422343,135.7293798
"Emergency Services","very high",-34.1274134,135.6080908
"Emergency Services","high",-34.036746,135.751268
"Grain Storage Bunker","very high",-34.2589142,135.7285262
"Slaughter House","high",-34.2661081,135.7204493
"Waste Transfer Station","high",-34.2589142,135.7285262
"Emergency Services","very high",-34.4122147,135.7061307
"Fire Water Tank","n/a",-34.387116,135.4677711
"Emergency Services","very high",-34.387116,135.4677711
"Telephone Exchange","medium",-34.4621868,135.4583683
"Communication Tower","high",-34.5486959,135.3988956
"Waste Water Treatment Plant","medium",-34.6248219,135.4640962
"Waste Transfer Station","low",-34.6248219,135.4640962
"Coffin Bay Water Tank","n/a",-34.6025284,135.5416479
"Communications Tower","medium",33.967341,-83.2826549
"Fire Lookout Tower","medium",33.967341,-83.2826549
"North Shields Effluent Pump","low",-34.6284423,135.8666083
"Grain Storage Silo","medium",-34.1303929,135.4925927
"Grain Storage Silo","n/a",-34.2589142,135.7285262
